category,image_url,question,question_en,option1,option2,option3,option4,answer_index,rationale,rationale_en,hint
street,/images_quiz/street/street-sign-namhae-jukbang-jeonmun-0011.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,김치삼겹살 (Kimchi Pork Belly),솔밭숯불갈비 (Solbat Galbi),남해죽방전문 (Namhae Bamboo Trap),자연산광어 (Wild Flounder),3,정답은 남해죽방전문 입니다.,The correct answer is Namhae Bamboo Trap Specialty.,
street,/images_quiz/street/street-sign-seuta-maekseu-0012.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,스타맥스 (Starmax),헐리우드클래식 (Hollywood Classic),뉴유성메들리 (New Yuseong Medley),오뚜기슈퍼 (Ottogi Supermarket),1,정답은 스타맥스 입니다.,The correct answer is Starmax.,
street,/images_quiz/street/street-sign-geumyeon-0013.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,진입금지 (No Entry),양보 (Yield),금연 (No Smoking),천천히 (Slowly),3,정답은 금연 입니다.,The correct answer is No Smoking.,
street,/images_quiz/street/street-sign-bangapda-goemul-a-0014.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,반갑다괴물아 (Hello Monster),눈부시게꽃다워 (Dazzlingly Beautiful),메리크리스마스 (Merry Christmas),돈돼지 (Don Dwaeji),1,정답은 반갑다괴물아 입니다.,The correct answer is Hello Monster.,
street,/images_quiz/street/street-sign-yeongjin-ibalgwan-0015.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,장미컴퓨터세탁 (Jangmi Computer Laundry),힐링세탁 (Healing Laundry),영진이발관 (Yeongjin Barbershop),불란서제빵소 (French Bakery),3,정답은 영진이발관 입니다.,The correct answer is Yeongjin Barbershop.,
street,/images_quiz/street/street-sign-yungpeurau-billa-0016.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,융프라우빌라 (Jungfrau Villa),애플하우스고시텔 (Apple House Gositel),목귀별관 (Mokgui Annex),백난모텔 (Baeknan Motel),1,정답은 융프라우빌라 입니다.,The correct answer is Jungfrau Villa.,
street,/images_quiz/street/street-sign-uri-budongsan-0017.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,부동산 (Real Estate),우리부동산 (Uri Real Estate),남산마트 (Namsan Mart),오뚜기슈퍼 (Ottogi Supermarket),2,정답은 우리부동산 입니다.,The correct answer is Uri Real Estate.,
street,/images_quiz/street/street-sign-ottugi-syupeo-0018.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,오뚜기슈퍼 (Ottogi Supermarket),남산마트 (Namsan Mart),스타맥스 (Starmax),우리부동산 (Uri Real Estate),1,정답은 오뚜기슈퍼 입니다.,The correct answer is Ottogi Supermarket.,
street,/images_quiz/street/street-sign-gimchi-samgyeopsal-0019.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,솔밭숯불갈비 (Solbat Galbi),돈돼지 (Don Dwaeji),김치삼겹살 (Kimchi Pork Belly),남해죽방전문 (Namhae Bamboo Trap),3,정답은 김치삼겹살 입니다.,The correct answer is Kimchi Pork Belly.,
street,/images_quiz/street/street-sign-seoul-yeok-0020.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,서울역 (Seoul Station),이태원 (Itaewon),삼각지역 (Samgakji Station),종로 (Jongno),1,정답은 서울역 입니다.,The correct answer is Seoul Station.,
street,/images_quiz/street/street-sign-gidaeji-masiyo-0021.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,천천히 (Slowly),기대지마시오 (Do Not Lean),양보 (Yield),금연 (No Smoking),2,정답은 기대지마시오 입니다.,The correct answer is Do Not Lean.,
street,/images_quiz/street/street-sign-naganeun-got-0022.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,출입구 (Entrance),진입금지 (No Entry),나가는곳 (Exit),횡단보도정지 (Crosswalk Stop),3,정답은 나가는곳 입니다.,The correct answer is Exit.,
street,/images_quiz/street/street-sign-neol-wihae-junbihaesseo-jogeumman-gidaryeojwo-0023.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,매주일요일은쉽니다 (Closed Sundays),널위해준비했어조금만기다려줘 (Prepared for You Wait a Bit),눈부시게꽃다워 (Dazzlingly Beautiful),메리크리스마스 (Merry Christmas),2,정답은 널위해준비했어조금만기다려줘 입니다.,The correct answer is Prepared for You Please Wait a Bit.,
street,/images_quiz/street/street-sign-budongsan-0024.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,우리부동산 (Uri Real Estate),부동산 (Real Estate),남산마트 (Namsan Mart),오뚜기슈퍼 (Ottogi Supermarket),2,정답은 부동산 입니다.,The correct answer is Real Estate.,
street,/images_quiz/street/street-sign-meri-keuriseumaseu-0025.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,눈부시게꽃다워 (Dazzlingly Beautiful),반갑다괴물아 (Hello Monster),메리크리스마스 (Merry Christmas),안전제일 (Safety First),3,정답은 메리크리스마스 입니다.,The correct answer is Merry Christmas.,
street,/images_quiz/street/street-sign-namsan-mateu-0026.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,남산마트 (Namsan Mart),오뚜기슈퍼 (Ottogi Supermarket),스타맥스 (Starmax),대림음식백화점 (Daerim Food Dept),1,정답은 남산마트 입니다.,The correct answer is Namsan Mart.,
street,/images_quiz/street/street-sign-cheongchun-sijang-0027.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,광장시장 (Gwangjang Market),청춘시장 (Youth Market),남포지하쇼핑센터 (Nampo Underground Shopping),대림음식백화점 (Daerim Food Dept),2,정답은 청춘시장 입니다.,The correct answer is Youth Market.,
street,/images_quiz/street/street-sign-aepeul-hausu-gositeul-0028.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,백난모텔 (Baeknan Motel),융프라우빌라 (Jungfrau Villa),애플하우스고시텔 (Apple House Gositel),목귀별관 (Mokgui Annex),3,정답은 애플하우스고시텔 입니다.,The correct answer is Apple House Gositel.,
street,/images_quiz/street/street-sign-wiheom-churak-juui-0029.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,위험추락주의 (Danger Fall Hazard),결빙주의 (Icy Road Warning),진입금지 (No Entry),안전제일 (Safety First),1,정답은 위험추락주의 입니다.,The correct answer is Danger Fall Hazard.,
street,/images_quiz/street/street-sign-yukseonghoebi-0030.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,교환환불안됩니다 (No Exchange/Refund),육성회비 (PTA Membership Fee),CCTV작동중 (CCTV in Operation),주정차금지 (No Parking),2,정답은 육성회비 입니다.,The correct answer is PTA Membership Fee.,
street,/images_quiz/street/street-sign-ssissitibi-jakdongjung-0031.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,진입금지 (No Entry),금연 (No Smoking),CCTV작동중 (CCTV in Operation),주정차금지 (No Parking),3,정답은 CCTV작동중 입니다.,The correct answer is CCTV in Operation.,
street,/images_quiz/street/street-sign-jinip-geumji-0032.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,우회전금지 (No Right Turn),진입금지 (No Entry),양보 (Yield),금연 (No Smoking),2,정답은 진입금지 입니다.,The correct answer is No Entry.,
street,/images_quiz/street/street-sign-daerim-eumsik-baekhwa-jeom-0033.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,광장시장 (Gwangjang Market),남포지하쇼핑센터 (Nampo Underground Shopping),대림음식백화점 (Daerim Food Dept),청춘시장 (Youth Market),3,정답은 대림음식백화점 입니다.,The correct answer is Daerim Food Department Store.,
street,/images_quiz/street/street-sign-nyu-yuseong-medulli-0034.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,뉴유성메들리 (New Yuseong Medley),헐리우드클래식 (Hollywood Classic),스타맥스 (Starmax),융프라우빌라 (Jungfrau Villa),1,정답은 뉴유성메들리 입니다.,The correct answer is New Yuseong Medley.,
street,/images_quiz/street/street-sign-yeoseong-ansim-gwigatgil-0035.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,보행중스마트폰주의 (Watch Smartphone),여성안심귀갓길 (Safe Walk Home for Women),안전제일 (Safety First),결빙주의 (Icy Road Warning),2,정답은 여성안심귀갓길 입니다.,The correct answer is Safe Walk Home for Women.,
street,/images_quiz/street/street-sign-anjeon-jeil-0036.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,안전제일 (Safety First),금연 (No Smoking),결빙주의 (Icy Road Warning),위험추락주의 (Fall Hazard),1,정답은 안전제일 입니다.,The correct answer is Safety First.,
street,/images_quiz/street/street-sign-baengnan-motel-0037.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,융프라우빌라 (Jungfrau Villa),백난모텔 (Baeknan Motel),애플하우스고시텔 (Apple House Gositel),목귀별관 (Mokgui Annex),2,정답은 백난모텔 입니다.,The correct answer is Baeknan Motel.,
street,/images_quiz/street/street-sign-jujeongcha-geumji-gyeonin-jiyeok-0038.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,진입금지 (No Entry),주정차금지견인지역 (No Parking Towing Zone),우회전금지 (No Right Turn),양보 (Yield),2,정답은 주정차금지견인지역 입니다.,The correct answer is No Parking Towing Zone.,
street,/images_quiz/street/street-sign-hoengdanbodo-jeongji-0039.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,천천히 (Slowly),양보 (Yield),횡단보도정지 (Crosswalk Stop),나가는곳 (Exit),3,정답은 횡단보도정지 입니다.,The correct answer is Crosswalk Stop.,
street,/images_quiz/street/street-sign-dojunim-neungso-0040.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,도주님능소 (Dojunim Neungso),돈돼지 (Don Dwaeji),솔밭숯불갈비 (Solbat Galbi),김치삼겹살 (Kimchi Pork Belly),1,정답은 도주님능소 입니다.,The correct answer is Dojunim Neungso.,
street,/images_quiz/street/street-sign-gyeongbok-tang-0041.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,경복탕 (Gyeongbok Bathhouse),삼베숙성고 (Hemp Aging Room),힐링세탁 (Healing Laundry),영진이발관 (Yeongjin Barbershop),1,정답은 경복탕 입니다.,The correct answer is Gyeongbok Bathhouse.,
street,/images_quiz/street/street-sign-yangbo-0042.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,양보 (Yield),천천히 (Slowly),금연 (No Smoking),진입금지 (No Entry),1,정답은 양보 입니다.,The correct answer is Yield.,
street,/images_quiz/street/street-sign-bullansyeo-jebbangso-0043.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,영진이발관 (Yeongjin Barbershop),불란서제빵소 (French Bakery),힐링세탁 (Healing Laundry),장미컴퓨터세탁 (Jangmi Computer Laundry),2,정답은 불란서제빵소 입니다.,The correct answer is French Bakery.,
street,/images_quiz/street/street-sign-mapo-daegyo-0044.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,마포대교 (Mapo Bridge),한강대로30길 (Hangang-daero 30-gil),남대문로 (Namdaemun-ro),서울역 (Seoul Station),1,정답은 마포대교 입니다.,The correct answer is Mapo Bridge.,
street,/images_quiz/street/street-sign-hilling-setak-yunipom-ripom-0045.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,장미컴퓨터세탁 (Jangmi Computer Laundry),힐링세탁유니폼리폼 (Healing Laundry Uniform Reform),영진이발관 (Yeongjin Barbershop),불란서제빵소 (French Bakery),2,정답은 힐링세탁유니폼리폼 입니다.,The correct answer is Healing Laundry Uniform Reform.,
street,/images_quiz/street/street-sign-churipgu-0046.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,나가는곳 (Exit),출입구 (Entrance),진입금지 (No Entry),횡단보도정지 (Crosswalk Stop),2,정답은 출입구 입니다.,The correct answer is Entrance.,
street,/images_quiz/street/street-sign-shinseon-junghakgyo-0047.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,창광교회 (Changgwang Church),신선중학교 (Shinseon Middle School),경복탕 (Gyeongbok Bathhouse),목귀별관 (Mokgui Annex),2,정답은 신선중학교 입니다.,The correct answer is Shinseon Middle School.,
street,/images_quiz/street/street-sign-gyeolbing-juui-0048.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,위험추락주의 (Fall Hazard),안전제일 (Safety First),결빙주의 (Icy Road Warning),천천히 (Slowly),3,정답은 결빙주의 입니다.,The correct answer is Icy Road Warning.,
street,/images_quiz/street/street-sign-bohaengjung-seumateupon-juui-0049.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,보행중스마트폰주의 (Watch Smartphone While Walking),여성안심귀갓길 (Safe Walk Home),안전제일 (Safety First),기대지마시오 (Do Not Lean),1,정답은 보행중스마트폰주의 입니다.,The correct answer is Watch Smartphone While Walking.,
street,/images_quiz/street/street-sign-itaewon-0050.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,서울역 (Seoul Station),이태원 (Itaewon),삼각지역 (Samgakji Station),종로 (Jongno),2,정답은 이태원 입니다.,The correct answer is Itaewon.,
street,/images_quiz/street/street-sign-hangang-daero-samsip-gil-0051.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,남대문로 (Namdaemun-ro),마포대교 (Mapo Bridge),한강대로30길 (Hangang-daero 30-gil),종로자전거 (Jongno Bicycle),3,정답은 한강대로30길 입니다.,The correct answer is Hangang-daero 30-gil.,
street,/images_quiz/street/street-sign-samgak-jiyeok-0052.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,이태원 (Itaewon),서울역 (Seoul Station),삼각지역 (Samgakji Station),종로 (Jongno),3,정답은 삼각지역 입니다.,The correct answer is Samgakji Station.,
street,/images_quiz/street/street-sign-don-dwaeji-0053.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,돈돼지 (Don Dwaeji),김치삼겹살 (Kimchi Pork Belly),솔밭숯불갈비 (Solbat Galbi),도주님능소 (Dojunim Neungso),1,정답은 돈돼지 입니다.,The correct answer is Don Dwaeji.,
street,/images_quiz/street/street-sign-jongno-jajeongeo-0054.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,한강대로30길 (Hangang-daero 30-gil),종로자전거 (Jongno Bicycle),마포대교 (Mapo Bridge),남대문로 (Namdaemun-ro),2,정답은 종로자전거 입니다.,The correct answer is Jongno Bicycle.,
street,/images_quiz/street/street-sign-mokgui-byeolgwan-0055.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,백난모텔 (Baeknan Motel),목귀별관 (Mokgui Annex),애플하우스고시텔 (Apple House Gositel),융프라우빌라 (Jungfrau Villa),2,정답은 목귀별관 입니다.,The correct answer is Mokgui Annex.,
street,/images_quiz/street/street-sign-gyohwan-hwanbul-an-doemnida-0056.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,매주일요일은쉽니다 (Closed Sundays),교환환불안됩니다 (No Exchange/Refund),기대지마시오 (Do Not Lean),육성회비 (PTA Fee),2,정답은 교환환불안됩니다 입니다.,The correct answer is No Exchange/Refund.,
street,/images_quiz/street/street-sign-jangmi-keompyuteo-setak-0057.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,힐링세탁 (Healing Laundry),장미컴퓨터세탁 (Jangmi Computer Laundry),영진이발관 (Yeongjin Barbershop),불란서제빵소 (French Bakery),2,정답은 장미컴퓨터세탁 입니다.,The correct answer is Jangmi Computer Laundry.,
street,/images_quiz/street/street-sign-namdaemun-ro-0058.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,남대문로 (Namdaemun-ro),한강대로30길 (Hangang-daero 30-gil),마포대교 (Mapo Bridge),종로자전거 (Jongno Bicycle),1,정답은 남대문로 입니다.,The correct answer is Namdaemun-ro.,
street,/images_quiz/street/street-sign-uhoejeon-geumji-0059.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,진입금지 (No Entry),우회전금지 (No Right Turn),양보 (Yield),주정차금지 (No Parking),2,정답은 우회전금지 입니다.,The correct answer is No Right Turn.,
street,/images_quiz/street/street-sign-cheoncheonhi-0060.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,양보 (Yield),천천히 (Slowly),금연 (No Smoking),횡단보도정지 (Crosswalk Stop),2,정답은 천천히 입니다.,The correct answer is Slowly.,
