category,image_url,question,question_en,option1,option2,option3,option4,answer_index,rationale,rationale_en,hint
food,/images_quiz/food/food-gold-rich-0063.jpg,이 음식은 무엇인가요?,What is this food?,쌀 (Rice),골드키위 (Gold Kiwi),오뎅탕 (Odeng Tang),파프리카 (Paprika),2,정답은 골드키위 (Gold Kiwi) 입니다.,The correct answer is Gold Kiwi.,
food,/images_quiz/food/food-gomtang-0040.jpg,이 음식은 무엇인가요?,What is this food?,닭꼬치 (Dakkochi),딸기 (Strawberry),곰탕 (Gomtang),핫도그 (Hotdog),3,정답은 곰탕 (Gomtang) 입니다.,The correct answer is Gomtang.,
food,/images_quiz/food/food-gosari-bracken-0095.jpg,이 음식은 무엇인가요?,What is this food?,아이스크림 (Ice Cream),고사리 (Gosari (Bracken)),츄러스 (Churros),삼계탕 (Samgyetang),2,정답은 고사리 (Gosari (Bracken)) 입니다.,The correct answer is Gosari (Bracken).,
food,/images_quiz/food/food-grapes-0079.jpg,이 음식은 무엇인가요?,What is this food?,쭈꾸미 (Jjukkumi),포도 (Grapes),시금치 (Spinach),동동주 (Dongdongju),2,정답은 포도 (Grapes) 입니다.,The correct answer is Grapes.,
food,/images_quiz/food/food-green-peas-0077.jpg,이 음식은 무엇인가요?,What is this food?,조개탕 (Jogaetang),회오리감자 (Tornado Potato),홍어삼합 (Hongeo Samhap),완두콩 (Green Peas),4,정답은 완두콩 (Green Peas) 입니다.,The correct answer is Green Peas.,
food,/images_quiz/food/food-grilled-eel-0048.jpg,이 음식은 무엇인가요?,What is this food?,꽈배기 (Kkwabaegi),장어구이 (Grilled Eel),번데기 (Beondegi),육회 (Yukhoe),2,정답은 장어구이 (Grilled Eel) 입니다.,The correct answer is Grilled Eel.,
food,/images_quiz/food/food-gul-oyster-0059.jpg,이 음식은 무엇인가요?,What is this food?,벼 (Rice Plant),오뎅탕 (Odeng Tang),오디 (Mulberry),굴 (Oyster),4,정답은 굴 (Oyster) 입니다.,The correct answer is Oyster.,
food,/images_quiz/food/food-gulbi-0107.jpg,이 음식은 무엇인가요?,What is this food?,장어덮밥 (Eel Donburi),굴비 (Gulbi),돈까스 (Tonkatsu),딸기 (Strawberry),2,정답은 굴비 (Gulbi) 입니다.,The correct answer is Gulbi.,
food,/images_quiz/food/food-hamburger-0066.jpg,이 음식은 무엇인가요?,What is this food?,김치볶음밥 (Kimchi Fried Rice),라면 (Ramyeon),방울토마토 (Cherry Tomato),햄버거 (Hamburger),4,정답은 햄버거 (Hamburger) 입니다.,The correct answer is Hamburger.,
food,/images_quiz/food/food-hanwoo-korean-beef-0117.jpg,이 음식은 무엇인가요?,What is this food?,비빔메밀국수 (Bibim Memil Guksu),핫도그 (Hotdog),전복 (Abalone),한우 (Hanwoo (Korean Beef)),4,정답은 한우 (Hanwoo (Korean Beef)) 입니다.,The correct answer is Hanwoo (Korean Beef).,
food,/images_quiz/food/food-hobak-jeon-0037.jpg,이 음식은 무엇인가요?,What is this food?,물만두 (Mul Mandu),간장새우장 (Ganjang Saeujang),바나나 (Banana),호박전 (Hobak Jeon),4,정답은 호박전 (Hobak Jeon) 입니다.,The correct answer is Hobak Jeon.,
food,/images_quiz/food/food-hobakjuk-0051.jpg,이 음식은 무엇인가요?,What is this food?,호박죽 (Hobakjuk),김부각 (Gim Bugak),복숭아 (Peach),동동주 (Dongdongju),1,정답은 호박죽 (Hobakjuk) 입니다.,The correct answer is Hobakjuk.,
food,/images_quiz/food/food-hoedeopbap-0097.jpg,이 음식은 무엇인가요?,What is this food?,찐빵 (Jjinppang),완두콩 (Green Peas),회덮밥 (Hoedeopbap),김 (Gim (Seaweed)),3,정답은 회덮밥 (Hoedeopbap) 입니다.,The correct answer is Hoedeopbap.,
food,/images_quiz/food/food-hongeo-samhap-0039.jpg,이 음식은 무엇인가요?,What is this food?,홍어삼합 (Hongeo Samhap),조개탕 (Jogaetang),배 (Korean Pear),케이크 (Cake),1,정답은 홍어삼합 (Hongeo Samhap) 입니다.,The correct answer is Hongeo Samhap.,
food,/images_quiz/food/food-hoppang-0096.jpg,이 음식은 무엇인가요?,What is this food?,육회 (Yukhoe),호빵 (Hoppang),돼지국밥 (Dwaeji Gukbap),딸기 (Strawberry),2,정답은 호빵 (Hoppang) 입니다.,The correct answer is Hoppang.,
food,/images_quiz/food/food-hotdog-0049.jpg,이 음식은 무엇인가요?,What is this food?,문어숙회 (Muneo Sukhoe),김부각 (Gim Bugak),핫도그 (Hotdog),홍고추 (Red Chili Pepper),3,정답은 핫도그 (Hotdog) 입니다.,The correct answer is Hotdog.,
food,/images_quiz/food/food-ice-cream-0024.jpg,이 음식은 무엇인가요?,What is this food?,홍어삼합 (Hongeo Samhap),떡볶이 (Tteokbokki),아이스크림 (Ice Cream),스테이크 (Steak),3,정답은 아이스크림 (Ice Cream) 입니다.,The correct answer is Ice Cream.,
food,/images_quiz/food/food-inari-sushi-0042.jpg,이 음식은 무엇인가요?,What is this food?,전복 (Abalone),장어구이 (Grilled Eel),유부초밥 (Inari Sushi),핫도그 (Hotdog),3,정답은 유부초밥 (Inari Sushi) 입니다.,The correct answer is Inari Sushi.,
food,/images_quiz/food/food-injeolmi-0025.jpg,이 음식은 무엇인가요?,What is this food?,골드키위 (Gold Kiwi),전복죽 (Jeonbokjuk),인절미 (Injeolmi),비빔면 (Bibim Myeon),3,정답은 인절미 (Injeolmi) 입니다.,The correct answer is Injeolmi.,
food,/images_quiz/food/food-japchae-0104.jpg,이 음식은 무엇인가요?,What is this food?,된장찌개 (Doenjang Jjigae),메주 (Meju),잡채 (Japchae),떡갈비 (Tteokgalbi),3,정답은 잡채 (Japchae) 입니다.,The correct answer is Japchae.,
food,/images_quiz/food/food-jeonbok-abalone-0118.jpg,이 음식은 무엇인가요?,What is this food?,장어구이 (Grilled Eel),골드키위 (Gold Kiwi),전복 (Abalone),장어덮밥 (Eel Donburi),3,정답은 전복 (Abalone) 입니다.,The correct answer is Abalone.,
food,/images_quiz/food/food-jeonbokjuk-0019.jpg,이 음식은 무엇인가요?,What is this food?,물만두 (Mul Mandu),비빔밥 (Bibimbap),감자튀김 (French Fries),전복죽 (Jeonbokjuk),4,정답은 전복죽 (Jeonbokjuk) 입니다.,The correct answer is Jeonbokjuk.,
food,/images_quiz/food/food-jjajangmyeon-0003.jpg,이 음식은 무엇인가요?,What is this food?,콩국수 (Kongguksu),칵테일 (Cocktail),파프리카 (Paprika),짜장면 (Jjajangmyeon),4,정답은 짜장면 (Jjajangmyeon) 입니다.,The correct answer is Jjajangmyeon.,
food,/images_quiz/food/food-jjinppang-0020.jpg,이 음식은 무엇인가요?,What is this food?,찐빵 (Jjinppang),비빔면 (Bibim Myeon),호박죽 (Hobakjuk),꽈배기 (Kkwabaegi),1,정답은 찐빵 (Jjinppang) 입니다.,The correct answer is Jjinppang.,
food,/images_quiz/food/food-jjukkumi-0111.jpg,이 음식은 무엇인가요?,What is this food?,닭갈비 (Dakgalbi),양파 (Onion),호박죽 (Hobakjuk),쭈꾸미 (Jjukkumi),4,정답은 쭈꾸미 (Jjukkumi) 입니다.,The correct answer is Jjukkumi.,
food,/images_quiz/food/food-jogaetang-0115.jpg,이 음식은 무엇인가요?,What is this food?,호빵 (Hoppang),조개탕 (Jogaetang),빈대떡 (Bindaetteok),인절미 (Injeolmi),2,정답은 조개탕 (Jogaetang) 입니다.,The correct answer is Jogaetang.,
food,/images_quiz/food/food-jokbal-0026.jpg,이 음식은 무엇인가요?,What is this food?,돼지갈비 (Dwaeji Galbi),보쌈 (Bossam),족발 (Jokbal),대패삼겹살 (Daepae Samgyeopsal),3,정답은 족발 (Jokbal) 입니다.,The correct answer is Jokbal.,
food,/images_quiz/food/food-kimchi-bokkeumbap-0030.jpg,이 음식은 무엇인가요?,What is this food?,생강 (Ginger),키위 (Kiwi),김치볶음밥 (Kimchi Fried Rice),물냉면 (Mul Naengmyeon),3,정답은 김치볶음밥 (Kimchi Fried Rice) 입니다.,The correct answer is Kimchi Fried Rice.,
food,/images_quiz/food/food-kimchi-jeon-0009.jpg,이 음식은 무엇인가요?,What is this food?,완두콩 (Green Peas),시금치 (Spinach),김치전 (Kimchi Jeon),파프리카 (Paprika),3,정답은 김치전 (Kimchi Jeon) 입니다.,The correct answer is Kimchi Jeon.,
food,/images_quiz/food/food-kimchi-jjim-0105.jpg,이 음식은 무엇인가요?,What is this food?,김장배추 (Kimjang Cabbage),인절미 (Injeolmi),나초 (Nachos),김치찜 (Kimchi Jjim),4,정답은 김치찜 (Kimchi Jjim) 입니다.,The correct answer is Kimchi Jjim.,
food,/images_quiz/food/food-kimjang-cabbage-0006.jpg,이 음식은 무엇인가요?,What is this food?,김장배추 (Kimjang Cabbage),잡채 (Japchae),고추장 (Gochujang),삼계탕 (Samgyetang),1,정답은 김장배추 (Kimjang Cabbage) 입니다.,The correct answer is Kimjang Cabbage.,
food,/images_quiz/food/food-kiwi-0090.jpg,이 음식은 무엇인가요?,What is this food?,키위 (Kiwi),핫도그 (Hotdog),김부각 (Gim Bugak),배추김치 (Baechu Kimchi),1,정답은 키위 (Kiwi) 입니다.,The correct answer is Kiwi.,
food,/images_quiz/food/food-kkakdugi-0044.jpg,이 음식은 무엇인가요?,What is this food?,소주 (Soju),타코야끼 (Takoyaki),인절미 (Injeolmi),깍두기 (Kkakdugi),4,정답은 깍두기 (Kkakdugi) 입니다.,The correct answer is Kkakdugi.,
food,/images_quiz/food/food-kkwabaegi-0018.jpg,이 음식은 무엇인가요?,What is this food?,동동주 (Dongdongju),유부초밥 (Inari Sushi),밀푀유나베 (Millefeuille Nabe),꽈배기 (Kkwabaegi),4,정답은 꽈배기 (Kkwabaegi) 입니다.,The correct answer is Kkwabaegi.,
food,/images_quiz/food/food-kongguksu-0013.jpg,이 음식은 무엇인가요?,What is this food?,조개탕 (Jogaetang),칵테일 (Cocktail),떡갈비 (Tteokgalbi),콩국수 (Kongguksu),4,정답은 콩국수 (Kongguksu) 입니다.,The correct answer is Kongguksu.,
food,/images_quiz/food/food-korean-melon-chamoe-0050.jpg,이 음식은 무엇인가요?,What is this food?,곰탕 (Gomtang),참외 (Korean Melon),삼겹살 (Samgyeopsal),참치회 (Tuna Sashimi),2,정답은 참외 (Korean Melon) 입니다.,The correct answer is Korean Melon.,
food,/images_quiz/food/food-korean-pear-bae-0106.jpg,이 음식은 무엇인가요?,What is this food?,배 (Korean Pear),스테이크 (Steak),팬케이크 (Pancakes),칵테일 (Cocktail),1,정답은 배 (Korean Pear) 입니다.,The correct answer is Korean Pear.,
food,/images_quiz/food/food-meju-0023.jpg,이 음식은 무엇인가요?,What is this food?,밀푀유나베 (Millefeuille Nabe),츄러스 (Churros),벼 (Rice Plant),메주 (Meju),4,정답은 메주 (Meju) 입니다.,The correct answer is Meju.,
food,/images_quiz/food/food-millefeuille-nabe-0036.jpg,이 음식은 무엇인가요?,What is this food?,계란 (Egg),유부초밥 (Inari Sushi),도토리묵 (Dotorimuk),밀푀유나베 (Millefeuille Nabe),4,정답은 밀푀유나베 (Millefeuille Nabe) 입니다.,The correct answer is Millefeuille Nabe.,
food,/images_quiz/food/food-mint-chocolate-0081.jpg,이 음식은 무엇인가요?,What is this food?,낙지 (Nakji (Octopus)),민트초코 (Mint Chocolate),오디 (Mulberry),땅콩 (Peanut),2,정답은 민트초코 (Mint Chocolate) 입니다.,The correct answer is Mint Chocolate.,
food,/images_quiz/food/food-mixed-fruit-0112.jpg,이 음식은 무엇인가요?,What is this food?,모듬과일 (Mixed Fruit),파프리카 (Paprika),햄버거 (Hamburger),김장배추 (Kimjang Cabbage),1,정답은 모듬과일 (Mixed Fruit) 입니다.,The correct answer is Mixed Fruit.,
food,/images_quiz/food/food-mul-kimchi-0031.jpg,이 음식은 무엇인가요?,What is this food?,짜장면 (Jjajangmyeon),천도복숭아 (Nectarine),물김치 (Mul Kimchi),닭갈비 (Dakgalbi),3,정답은 물김치 (Mul Kimchi) 입니다.,The correct answer is Mul Kimchi.,
food,/images_quiz/food/food-mul-mandu-0125.jpg,이 음식은 무엇인가요?,What is this food?,물만두 (Mul Mandu),밀푀유나베 (Millefeuille Nabe),물김치 (Mul Kimchi),파프리카 (Paprika),1,정답은 물만두 (Mul Mandu) 입니다.,The correct answer is Mul Mandu.,
food,/images_quiz/food/food-mul-naengmyeon-0103.jpg,이 음식은 무엇인가요?,What is this food?,물냉면 (Mul Naengmyeon),쌀 (Rice),오징어 (Squid),햄버거 (Hamburger),1,정답은 물냉면 (Mul Naengmyeon) 입니다.,The correct answer is Mul Naengmyeon.,
food,/images_quiz/food/food-muneo-sukhoe-0091.jpg,이 음식은 무엇인가요?,What is this food?,문어숙회 (Muneo Sukhoe),돼지껍데기 (Dwaeji Kkeopdegi),김밥 (Gimbap),인절미 (Injeolmi),1,정답은 문어숙회 (Muneo Sukhoe) 입니다.,The correct answer is Muneo Sukhoe.,
food,/images_quiz/food/food-nachos-0058.jpg,이 음식은 무엇인가요?,What is this food?,나초 (Nachos),쌀 (Rice),햄버거 (Hamburger),닭갈비 (Dakgalbi),1,정답은 나초 (Nachos) 입니다.,The correct answer is Nachos.,
food,/images_quiz/food/food-nakji-octopus-0093.jpg,이 음식은 무엇인가요?,What is this food?,낙지 (Nakji (Octopus)),돈까스 (Tonkatsu),브로콜리 (Broccoli),떡갈비 (Tteokgalbi),1,정답은 낙지 (Nakji (Octopus)) 입니다.,The correct answer is Nakji (Octopus).,
food,/images_quiz/food/food-nectarine-0065.jpg,이 음식은 무엇인가요?,What is this food?,천도복숭아 (Nectarine),커피콩 (Coffee Beans),배 (Korean Pear),문어숙회 (Muneo Sukhoe),1,정답은 천도복숭아 (Nectarine) 입니다.,The correct answer is Nectarine.,
food,/images_quiz/food/food-odeng-tang-0053.jpg,이 음식은 무엇인가요?,What is this food?,옥수수 (Corn),고사리 (Gosari (Bracken)),바게트 (Baguette),오뎅탕 (Odeng Tang),4,정답은 오뎅탕 (Odeng Tang) 입니다.,The correct answer is Odeng Tang.,
food,/images_quiz/food/food-odi-mulberry-0054.jpg,이 음식은 무엇인가요?,What is this food?,새우튀김 (Shrimp Tempura),전복죽 (Jeonbokjuk),오디 (Mulberry),총각김치 (Chonggak Kimchi),3,정답은 오디 (Mulberry) 입니다.,The correct answer is Mulberry.,
food,/images_quiz/food/food-ojingeo-squid-0056.jpg,이 음식은 무엇인가요?,What is this food?,오징어 (Squid),두부 (Tofu),비빔밥 (Bibimbap),비빔메밀국수 (Bibim Memil Guksu),1,정답은 오징어 (Squid) 입니다.,The correct answer is Squid.,
food,/images_quiz/food/food-ojingeo-twigim-0061.jpg,이 음식은 무엇인가요?,What is this food?,포도 (Grapes),두부 (Tofu),오징어튀김 (Ojingeo Twigim),물김치 (Mul Kimchi),3,정답은 오징어튀김 (Ojingeo Twigim) 입니다.,The correct answer is Ojingeo Twigim.,
